行 176: 控件 MediaPlayer1 的类 MediaPlayerCtl.MediaPlayer 不是一个已加载的控件类。
行 183: 属性名 AudioStream 在 MediaPlayer1 中是无效的。
行 185: 属性名 AutoStart 在 MediaPlayer1 中是无效的。
行 186: 属性名 AnimationAtStart 在 MediaPlayer1 中是无效的。
行 187: 属性名 AllowScan 在 MediaPlayer1 中是无效的。
行 188: 属性名 AllowChangeDisplaySize 在 MediaPlayer1 中是无效的。
行 189: 属性名 AutoRewind 在 MediaPlayer1 中是无效的。
行 190: 属性名 Balance 在 MediaPlayer1 中是无效的。
行 191: 属性名 BaseURL 在 MediaPlayer1 中是无效的。
行 192: 属性名 BufferingTime 在 MediaPlayer1 中是无效的。
行 193: 属性名 CaptioningID 在 MediaPlayer1 中是无效的。
行 194: 属性名 ClickToPlay 在 MediaPlayer1 中是无效的。
行 195: 属性名 CursorType 在 MediaPlayer1 中是无效的。
行 196: 属性名 CurrentPosition 在 MediaPlayer1 中是无效的。
行 197: 属性名 CurrentMarker 在 MediaPlayer1 中是无效的。
行 198: 属性名 DefaultFrame 在 MediaPlayer1 中是无效的。
行 199: 属性名 DisplayBackColor 在 MediaPlayer1 中是无效的。
行 200: 属性名 DisplayForeColor 在 MediaPlayer1 中是无效的。
行 201: 属性名 DisplayMode 在 MediaPlayer1 中是无效的。
行 202: 属性名 DisplaySize 在 MediaPlayer1 中是无效的。
行 204: 属性名 EnableContextMenu 在 MediaPlayer1 中是无效的。
行 205: 属性名 EnablePositionControls 在 MediaPlayer1 中是无效的。
行 206: 属性名 EnableFullScreenControls 在 MediaPlayer1 中是无效的。
行 207: 属性名 EnableTracker 在 MediaPlayer1 中是无效的。
行 208: 属性名 Filename 在 MediaPlayer1 中是无效的。
行 209: 属性名 InvokeURLs 在 MediaPlayer1 中是无效的。
行 210: 属性名 Language 在 MediaPlayer1 中是无效的。
行 211: 属性名 Mute 在 MediaPlayer1 中是无效的。
行 212: 属性名 PlayCount 在 MediaPlayer1 中是无效的。
行 213: 属性名 PreviewMode 在 MediaPlayer1 中是无效的。
行 214: 属性名 Rate 在 MediaPlayer1 中是无效的。
行 215: 属性名 SAMILang 在 MediaPlayer1 中是无效的。
行 216: 属性名 SAMIStyle 在 MediaPlayer1 中是无效的。
行 217: 属性名 SAMIFileName 在 MediaPlayer1 中是无效的。
行 218: 属性名 SelectionStart 在 MediaPlayer1 中是无效的。
行 219: 属性名 SelectionEnd 在 MediaPlayer1 中是无效的。
行 220: 属性名 SendOpenStateChangeEvents 在 MediaPlayer1 中是无效的。
行 221: 属性名 SendWarningEvents 在 MediaPlayer1 中是无效的。
行 222: 属性名 SendErrorEvents 在 MediaPlayer1 中是无效的。
行 223: 属性名 SendKeyboardEvents 在 MediaPlayer1 中是无效的。
行 224: 属性名 SendMouseClickEvents 在 MediaPlayer1 中是无效的。
行 225: 属性名 SendMouseMoveEvents 在 MediaPlayer1 中是无效的。
行 226: 属性名 SendPlayStateChangeEvents 在 MediaPlayer1 中是无效的。
行 227: 属性名 ShowCaptioning 在 MediaPlayer1 中是无效的。
行 228: 属性名 ShowControls 在 MediaPlayer1 中是无效的。
行 229: 属性名 ShowAudioControls 在 MediaPlayer1 中是无效的。
行 230: 属性名 ShowDisplay 在 MediaPlayer1 中是无效的。
行 231: 属性名 ShowGotoBar 在 MediaPlayer1 中是无效的。
行 232: 属性名 ShowPositionControls 在 MediaPlayer1 中是无效的。
行 233: 属性名 ShowStatusBar 在 MediaPlayer1 中是无效的。
行 234: 属性名 ShowTracker 在 MediaPlayer1 中是无效的。
行 235: 属性名 TransparentAtStart 在 MediaPlayer1 中是无效的。
行 236: 属性名 VideoBorderWidth 在 MediaPlayer1 中是无效的。
行 237: 属性名 VideoBorderColor 在 MediaPlayer1 中是无效的。
行 238: 属性名 VideoBorder3D 在 MediaPlayer1 中是无效的。
行 239: 属性名 Volume 在 MediaPlayer1 中是无效的。
行 240: 属性名 WindowlessVideo 在 MediaPlayer1 中是无效的。
