行 18: 控件 MediaPlayer1 的类 MediaPlayerCtl.MediaPlayer 不是一个已加载的控件类。
行 25: 属性名 AudioStream 在 MediaPlayer1 中是无效的。
行 27: 属性名 AutoStart 在 MediaPlayer1 中是无效的。
行 28: 属性名 AnimationAtStart 在 MediaPlayer1 中是无效的。
行 29: 属性名 AllowScan 在 MediaPlayer1 中是无效的。
行 30: 属性名 AllowChangeDisplaySize 在 MediaPlayer1 中是无效的。
行 31: 属性名 AutoRewind 在 MediaPlayer1 中是无效的。
行 32: 属性名 Balance 在 MediaPlayer1 中是无效的。
行 33: 属性名 BaseURL 在 MediaPlayer1 中是无效的。
行 34: 属性名 BufferingTime 在 MediaPlayer1 中是无效的。
行 35: 属性名 CaptioningID 在 MediaPlayer1 中是无效的。
行 36: 属性名 ClickToPlay 在 MediaPlayer1 中是无效的。
行 37: 属性名 CursorType 在 MediaPlayer1 中是无效的。
行 38: 属性名 CurrentPosition 在 MediaPlayer1 中是无效的。
行 39: 属性名 CurrentMarker 在 MediaPlayer1 中是无效的。
行 40: 属性名 DefaultFrame 在 MediaPlayer1 中是无效的。
行 41: 属性名 DisplayBackColor 在 MediaPlayer1 中是无效的。
行 42: 属性名 DisplayForeColor 在 MediaPlayer1 中是无效的。
行 43: 属性名 DisplayMode 在 MediaPlayer1 中是无效的。
行 44: 属性名 DisplaySize 在 MediaPlayer1 中是无效的。
行 46: 属性名 EnableContextMenu 在 MediaPlayer1 中是无效的。
行 47: 属性名 EnablePositionControls 在 MediaPlayer1 中是无效的。
行 48: 属性名 EnableFullScreenControls 在 MediaPlayer1 中是无效的。
行 49: 属性名 EnableTracker 在 MediaPlayer1 中是无效的。
行 50: 属性名 Filename 在 MediaPlayer1 中是无效的。
行 51: 属性名 InvokeURLs 在 MediaPlayer1 中是无效的。
行 52: 属性名 Language 在 MediaPlayer1 中是无效的。
行 53: 属性名 Mute 在 MediaPlayer1 中是无效的。
行 54: 属性名 PlayCount 在 MediaPlayer1 中是无效的。
行 55: 属性名 PreviewMode 在 MediaPlayer1 中是无效的。
行 56: 属性名 Rate 在 MediaPlayer1 中是无效的。
行 57: 属性名 SAMILang 在 MediaPlayer1 中是无效的。
行 58: 属性名 SAMIStyle 在 MediaPlayer1 中是无效的。
行 59: 属性名 SAMIFileName 在 MediaPlayer1 中是无效的。
行 60: 属性名 SelectionStart 在 MediaPlayer1 中是无效的。
行 61: 属性名 SelectionEnd 在 MediaPlayer1 中是无效的。
行 62: 属性名 SendOpenStateChangeEvents 在 MediaPlayer1 中是无效的。
行 63: 属性名 SendWarningEvents 在 MediaPlayer1 中是无效的。
行 64: 属性名 SendErrorEvents 在 MediaPlayer1 中是无效的。
行 65: 属性名 SendKeyboardEvents 在 MediaPlayer1 中是无效的。
行 66: 属性名 SendMouseClickEvents 在 MediaPlayer1 中是无效的。
行 67: 属性名 SendMouseMoveEvents 在 MediaPlayer1 中是无效的。
行 68: 属性名 SendPlayStateChangeEvents 在 MediaPlayer1 中是无效的。
行 69: 属性名 ShowCaptioning 在 MediaPlayer1 中是无效的。
行 70: 属性名 ShowControls 在 MediaPlayer1 中是无效的。
行 71: 属性名 ShowAudioControls 在 MediaPlayer1 中是无效的。
行 72: 属性名 ShowDisplay 在 MediaPlayer1 中是无效的。
行 73: 属性名 ShowGotoBar 在 MediaPlayer1 中是无效的。
行 74: 属性名 ShowPositionControls 在 MediaPlayer1 中是无效的。
行 75: 属性名 ShowStatusBar 在 MediaPlayer1 中是无效的。
行 76: 属性名 ShowTracker 在 MediaPlayer1 中是无效的。
行 77: 属性名 TransparentAtStart 在 MediaPlayer1 中是无效的。
行 78: 属性名 VideoBorderWidth 在 MediaPlayer1 中是无效的。
行 79: 属性名 VideoBorderColor 在 MediaPlayer1 中是无效的。
行 80: 属性名 VideoBorder3D 在 MediaPlayer1 中是无效的。
行 81: 属性名 Volume 在 MediaPlayer1 中是无效的。
行 82: 属性名 WindowlessVideo 在 MediaPlayer1 中是无效的。
