行 171: 控件 ZipMain 的类 XCEEDZIPLib.XceedZip 不是一个已加载的控件类。
行 174: 属性名 _Version 在 ZipMain 中是无效的。
行 175: 属性名 _ExtentX 在 ZipMain 中是无效的。
行 176: 属性名 _ExtentY 在 ZipMain 中是无效的。
行 177: 属性名 _StockProps 在 ZipMain 中是无效的。
行 178: 属性名 Compression 在 ZipMain 中是无效的。
行 179: 属性名 ClearDisks 在 ZipMain 中是无效的。
行 180: 属性名 ExtractDirectory 在 ZipMain 中是无效的。
行 181: 属性名 FilesToProcess 在 ZipMain 中是无效的。
行 182: 属性名 IncludeDirectoryEntries 在 ZipMain 中是无效的。
行 183: 属性名 IncludeHiddenFiles 在 ZipMain 中是无效的。
行 184: 属性名 IncludeVolumeLabel 在 ZipMain 中是无效的。
行 185: 属性名 ModifiedDate 在 ZipMain 中是无效的。
行 186: 属性名 MoveFiles 在 ZipMain 中是无效的。
行 187: 属性名 MultidiskMode 在 ZipMain 中是无效的。
行 188: 属性名 Overwrite 在 ZipMain 中是无效的。
行 189: 属性名 Password 在 ZipMain 中是无效的。
行 190: 属性名 Recurse 在 ZipMain 中是无效的。
行 191: 属性名 SelfExtracting 在 ZipMain 中是无效的。
行 192: 属性名 SfxBinary 在 ZipMain 中是无效的。
行 193: 属性名 SfxConfigFile 在 ZipMain 中是无效的。
行 194: 属性名 StoredExtensions 在 ZipMain 中是无效的。
行 195: 属性名 TempPath 在 ZipMain 中是无效的。
行 196: 属性名 UsePaths 在 ZipMain 中是无效的。
行 197: 属性名 UseTempFile 在 ZipMain 中是无效的。
行 198: 属性名 ZipFileName 在 ZipMain 中是无效的。
行 199: 属性名 InternalState 在 ZipMain 中是无效的。
行 200: 属性名 SfxExtractDirectory 在 ZipMain 中是无效的。
行 201: 属性名 SfxRunExePath 在 ZipMain 中是无效的。
行 202: 属性名 SfxReadmePath 在 ZipMain 中是无效的。
行 203: 属性名 SfxDefaultPassword 在 ZipMain 中是无效的。
行 204: 属性名 SfxOverwrite 在 ZipMain 中是无效的。
行 205: 属性名 SfxPromptForDirectory 在 ZipMain 中是无效的。
行 206: 属性名 SfxShowProgress 在 ZipMain 中是无效的。
行 207: 属性名 SfxPromptForPassword 在 ZipMain 中是无效的。
行 208: 属性名 SfxPromptCreateDirectory 在 ZipMain 中是无效的。
行 209: 属性名 SfxProgramGroup 在 ZipMain 中是无效的。
行 210: 属性名 SfxProgramGroupItems 在 ZipMain 中是无效的。
行 211: 属性名 SfxRegisterExtensions 在 ZipMain 中是无效的。
行 212: 属性名 SfxIcon 在 ZipMain 中是无效的。
行 213: 属性名 SfxInstallMode 在 ZipMain 中是无效的。
